Date,Influent Ammonia (mg/L),Influent Nitrate (mg/L),Influent Organic Nitrogen (mg/L),Total Phosphorus (mg/L),Influent Flow (Million Gallons),Effluent Ammonia (mg/L),Effluent Nitrate (mg/L),Effluent Organic Nitrogen (mg/L) ,Effluent Total Phosphorus (mg/L),Effluent Flow (MGD),Effluent Flow (m3/day),Nitrate loading (kg/d),TP loading (kg/d)
10/7/06,,,,16.60,,,,,11.30,28.27,107021.1624,0,1209.339135
10/8/06,,,,,,,,,,28.32,107218.0038,0,#VALUE!
10/9/06,,,,,,,,,,29.53,111798.3521,0,#VALUE!
10/10/06,20.40,,23.00,15.40,,<0.12,10.20,2.46,12.60,25.05,94805.63853,967.017513,1194.551045
10/11/06,,,,,,,,,,27.80,105215.521,0,#VALUE!
10/12/06,23.80,,,13.30,,<0.12,11.10,,9.84,24.73,93594.30676,1038.896805,920.9679785
10/13/06,,,,,,,,,,26.53,100408.048,0,#VALUE!
10/14/06,,,,14.10,,,,,9.04,28.27,107013.5916,0,967.4028679
10/15/06,,,,,,,,,,28.09,106313.2904,0,#VALUE!
10/16/06,,,,,,,,,,63.98,242198.2178,0,#VALUE!
10/17/06,7.99,,15.90,10.70,,<0.12,6.19,2.63,5.56,47.39,179375.5236,1110.334491,997.327911
10/18/06,,,,,,,,,,32.33,122389.9343,0,#VALUE!
10/19/06,8.86,,,14.80,,<0.12,9.30,,9.43,30.98,117275.843,1090.66534,1105.911199
10/20/06,,,,,,,,,,29.51,111718.8585,0,#VALUE!
10/21/06,,,,13.20,,,,,9.90,32.92,124600.6148,0,1233.546087
10/22/06,,,,,,,,,,27.98,105900.6805,0,#VALUE!
10/23/06,,,,,,,,,,30.32,114769.9004,0,#VALUE!
10/24/06,7.29,,21.30,12.00,,<0.12,6.86,3.24,9.04,27.15,102789.072,705.133034,929.213211
10/25/06,,,,,,,,,,30.91,116999.5079,0,#VALUE!
10/26/06,5.69,,,8.81,,<0.12,7.59,,7.03,37.05,140264.6488,1064.608685,986.0604813
10/27/06,,,,,,,,,,38.05,144050.0606,0,#VALUE!
10/28/06,,,,14.10,,,,,6.09,29.19,110496.1704,0,672.921678
10/29/06,,,,,,,,,,29.54,111824.85,0,#VALUE!
10/30/06,,,,,,,,,,30.11,113967.3931,0,#VALUE!
10/31/06,6.13,,20.30,12.50,,<0.12,8.19,2.19,9.87,28.71,108690.529,890.1754326,1072.775521
11/1/06,,,,,,,,,,28.51,107918.305,0,#VALUE!
11/2/06,7.44,,,11.20,,<0.12,7.34,,8.39,27.98,105927.1784,777.5054895,888.7290268
11/3/06,,,,,,,,,,29.64,112214.7474,0,#VALUE!
11/4/06,,,,13.40,,,,,8.53,30.45,115269.5747,0,983.2494724
11/5/06,,,,,,,,,,29.25,110723.2952,0,#VALUE!
11/6/06,,,,,,,,,,29.11,110181.9813,0,#VALUE!
11/7/06,6.87,,25.00,12.80,,<0.12,6.60,2.43,7.65,30.92,117026.0058,772.3716383,895.2489443
11/8/06,,,,,,,,,,27.59,104431.9407,0,#VALUE!
11/9/06,7.11,,,14.20,,0.26,8.32,,9.00,28.84,109178.8471,908.3680082,982.6096242
11/10/06,,,,,,,,,,38.48,145677.7877,0,#VALUE!
11/11/06,,,,11.10,,,,,7.76,28.94,109542.2467,0,850.0478341
11/12/06,,,,,,,,,,27.33,103466.6607,0,#VALUE!
11/13/06,,,,,,,,,,28.28,107032.5186,0,#VALUE!
11/14/06,6.71,,21.50,11.70,,<0.12,2.38,2.35,7.60,37.53,142081.6465,338.1543187,1079.820513
11/15/06,,,,,,,,,,49.48,187287.0342,0,#VALUE!
11/16/06,10.80,,,9.99,,<0.12,4.95,,6.44,31.50,119255.6133,590.3152861,768.00615
11/17/06,,,,,,,,,,30.26,114531.4194,0,#VALUE!
11/18/06,,,,11.10,,,,,8.13,28.59,108240.065,0,879.9917285
11/19/06,,,,,,,,,,27.39,103671.073,0,#VALUE!
11/20/06,,,,,,,,,,28.31,107153.6518,0,#VALUE!
11/21/06,14.10,,23.80,13.40,,<0.12,10.90,2.64,9.54,31.54,119376.7465,1301.206537,1138.854162
11/22/06,,,,,,,10.90,,,28.91,109447.6114,1192.978964,#VALUE!
11/23/06,13.60,,,13.80,,<0.12,,,10.10,27.52,104185.889,0,1052.277479
11/24/06,,,,,,,,,,30.07,113827.3328,0,#VALUE!
11/25/06,,,,16.10,,,,,10.30,29.27,110799.0034,0,1141.229735
11/26/06,,,,,,,,,,30.98,117272.0576,0,#VALUE!
11/27/06,,,,,,,,,,28.88,109318.9074,0,#VALUE!
11/28/06,20.70,,28.10,18.60,,<0.12,10.60,2.19,13.50,30.13,114062.0284,1209.057501,1539.837383
11/29/06,,,,,,,,,,41.04,155368.4419,0,#VALUE!
11/30/06,6.06,,,6.51,,<0.12,10.80,,8.13,99.08,375039.6741,4050.42848,3049.07255
12/1/06,,,,,,,,,,66.34,251124.2188,0,#VALUE!
12/2/06,,,,9.44,,,,,5.83,41.10,155569.0687,0,906.9676708
12/3/06,,,,,,,,,,42.16,159604.3177,0,#VALUE!
12/4/06,,,,,,,,,,35.31,133659.1052,0,#VALUE!
12/5/06,12.00,,16.50,13.50,,<0.12,5.21,2.82,9.29,40.10,151776.0861,790.7534087,1409.99984
12/6/06,,,,,,,,,,38.23,144701.1515,0,#VALUE!
12/7/06,13.20,,,14.10,,0.26,7.29,,9.63,35.51,134419.973,979.9216033,1294.46434
12/8/06,,,,,,,,,,36.85,139477.2832,0,#VALUE!
12/9/06,,,,15.10,,,,,11.10,36.67,138826.1924,0,1540.970735
12/10/06,,,,,,,,,,34.66,131202.373,0,#VALUE!
12/11/06,,,,,,,,,,51.12,193510.2512,0,#VALUE!
12/12/06,10.30,,20.60,9.72,,<0.12,6.56,2.46,7.01,48.92,185189.9161,1214.845849,1298.181312
12/13/06,,,,,,,,,,43.12,163219.386,0,#VALUE!
12/14/06,15.80,,,10.10,,<0.12,7.33,,7.00,43.21,163571.4293,1198.978577,1145.000005
12/15/06,,,,,,,,,,38.04,144008.4211,0,#VALUE!
12/16/06,,,,11.60,,,,,8.06,38.95,147426.648,0,1188.258783
12/17/06,,,,,,,,,,41.79,158184.7883,0,#VALUE!
12/18/06,,,,,,,,,,38.88,147184.3816,0,#VALUE!
12/19/06,27.70,,16.50,13.00,,<0.12,24.10,2.19,9.83,35.55,134571.3895,3243.170487,1322.836759
12/20/06,,,,,,,,,,57.03,215882.035,0,#VALUE!
12/21/06,12.40,,,7.04,,<0.12,23.50,,6.73,75.62,286252.8403,6726.941747,1926.481615
12/22/06,,,,,,,,,,73.06,276562.1861,0,#VALUE!
12/23/06,,,,8.30,,,,,5.54,58.28,220613.7997,0,1222.20045
12/24/06,,,,,,,,,,42.31,160172.1295,0,#VALUE!
12/25/06,,,,,,,,,,43.15,163344.3046,0,#VALUE!
12/26/06,10.40,,12.70,12.00,,<0.12,17.50,2.26,8.61,48.37,183092.7979,3204.123964,1576.42899
12/27/06,,,,,,,,,,39.73,150386.84,0,#VALUE!
12/28/06,7.29,,,10.20,,<0.12,11.90,,8.75,38.69,146457.5825,1742.845232,1281.503847
12/29/06,,,,,,,,,,39.86,150886.5143,0,#VALUE!
12/30/06,,,,9.35,,,,,8.05,45.83,173485.4228,0,1396.557653
12/31/06,,,,,,,,,,63.14,239003.3302,0,#VALUE!
1/1/07,,,,,,,,,,48.05,181896.6078,0,#VALUE!
1/2/07,4.38,,16.00,7.82,,<0.12,9.18,2.76,6.27,46.23,175010.9437,1606.600464,1097.318617
1/3/07,,,,,,,,,,41.83,158343.7756,0,#VALUE!
1/4/07,3.98,,,6.62,,<0.12,8.82,,6.06,67.50,255503.9403,2253.544753,1548.353878
1/5/07,,,,,,,,,,54.11,204828.6325,0,#VALUE!
1/6/07,,,,7.66,,,,,4.76,46.13,174602.1193,0,831.1060877
1/7/07,,,,,,,,,,47.54,179939.5499,0,#VALUE!
1/8/07,,,,,,,,,,42.84,162167.0415,0,#VALUE!
1/9/07,4.81,,14.30,10.20,,<0.12,8.43,2.32,6.19,42.81,162053.4792,1366.110829,1003.111036
1/10/07,,,,,,,,,,38.29,144943.4178,0,#VALUE!
1/11/07,7.66,,,9.32,,<0.12,8.23,,6.70,38.59,146086.6122,1202.292818,978.7803016
1/12/07,,,,,,,,,,67.34,254898.2744,0,#VALUE!
1/13/07,,,,5.83,,,,,4.40,59.48,225160.0793,0,990.7043488
1/14/07,,,,,,,,,,78.06,295474.1035,0,#VALUE!
1/15/07,,,,,,,,,,80.42,304437.9586,0,#VALUE!
1/16/07,5.87,,11.70,6.54,,<0.12,8.28,1.93,3.54,53.37,202027.4278,1672.787102,715.1770943
1/17/07,,,,,,,,,,48.56,183819.597,0,#VALUE!
1/18/07,5.85,,,8.35,,<0.12,11.80,,4.50,47.67,180465.7222,2129.495521,812.0957497
1/19/07,,,,,,,,,,44.50,168465.9667,0,#VALUE!
1/20/07,,,,9.24,,,,,5.47,37.32,141275.3538,0,772.7761852
1/21/07,,,,,,,,,,38.47,145636.1482,0,#VALUE!
1/22/07,,,,,,,,,,40.67,153945.1271,0,#VALUE!
1/23/07,4.38,,17.20,8.92,,<0.12,7.75,2.41,6.20,38.86,147112.4588,1140.121556,912.0972445
1/24/07,,,,,,,,,,39.39,149096.0146,0,#VALUE!
1/25/07,6.34,,,9.42,,<0.12,7.70,,5.96,36.55,138356.8013,1065.34737,824.6065357
1/26/07,,,,,,,,,,41.59,157442.8476,0,#VALUE!
1/27/07,,,,10.70,,,,,7.18,36.31,137440.7316,0,986.8244531
1/28/07,,,,,,,,,,33.85,128136.1894,0,#VALUE!
1/29/07,,,,,,,,,,38.00,143845.6484,0,#VALUE!
1/30/07,15.50,,18.40,10.50,,<0.12,13.80,2.49,7.14,33.96,128533.6577,1773.764476,917.7303158
1/31/07,,,,,,,,,,34.24,129612.5,0,#VALUE!
2/1/07,10.10,,,10.90,,<0.12,14.00,,6.90,35.13,132999.3109,1861.990353,917.6952452
2/2/07,,,,,,,,,,33.10,125314.5974,0,#VALUE!
2/3/07,,,,10.90,,,,,7.62,31.94,120905.9611,0,921.3034232
2/4/07,,,,,,,,,,29.41,111328.961,0,#VALUE!
2/5/07,,,,,,,,,,30.40,115087.875,0,#VALUE!
2/6/07,12.40,,23.60,9.85,,<0.12,8.10,2.72,6.22,30.04,113728.9121,921.2041882,707.3938334
2/7/07,,,,,,,,,,31.40,118846.7889,0,#VALUE!
2/8/07,12.00,,,10.80,,0.24,12.00,,8.83,29.92,113251.9502,1359.023403,1000.014721
2/9/07,,,,,,,,,,31.86,120591.8637,0,#VALUE!
2/10/07,,,,9.90,,,,,8.81,38.06,144053.846,0,1269.114384
2/11/07,,,,,,,,,,27.93,105741.6932,0,#VALUE!
2/12/07,,,,,,,,,,23.47,88828.4733,0,#VALUE!
2/13/07,14.80,,21.30,13.70,,<0.12,11.80,3.85,11.70,28.41,107543.5492,1269.013881,1258.259526
2/14/07,,,,,,,,,,30.13,114054.4575,0,#VALUE!
2/15/07,24.40,,,9.80,,<0.12,14.40,,6.71,29.65,112241.2453,1616.273932,753.1387558
2/16/07,,,,,,,,,,33.64,127356.3946,0,#VALUE!
2/17/07,,,,16.50,,,,,10.60,32.84,124309.1381,0,1317.676864
2/18/07,,,,,,,,,,33.01,124941.3019,0,#VALUE!
2/19/07,,,,,,,,,,40.88,154747.6344,0,#VALUE!
2/20/07,14.30,,18.30,10.30,,<0.12,11.10,3.54,9.88,41.21,155977.8932,1731.354615,1541.061585
2/21/07,,,,,,,,,,43.39,164230.0909,0,#VALUE!
2/22/07,14.70,,,7.67,,<0.12,7.53,,6.20,47.06,178141.4793,1341.405339,1104.477172
2/23/07,,,,,,,,,,41.91,158635.2523,0,#VALUE!
2/24/07,,,,6.57,,,,,6.12,78.55,297355.4531,0,1819.815373
2/25/07,,,,,,,,,,80.56,304952.7746,0,#VALUE!
2/26/07,,,,,,,,,,54.57,206569.9219,0,#VALUE!
2/27/07,18.20,,14.00,10.10,,<0.12,13.50,2.47,5.88,45.88,173686.0496,2344.76167,1021.273972
2/28/07,,,,,,,,,,51.90,196451.5162,0,#VALUE!
3/1/07,9.91,,,7.51,,<0.12,15.90,,6.54,74.08,280411.9499,4458.550004,1833.894152
3/2/07,,,,,,,,,,57.34,217066.8688,0,#VALUE!
3/3/07,,,,8.36,,,,,6.45,48.85,184898.4394,0,1192.594934
3/4/07,,,,,,,,,,42.66,161466.7403,0,#VALUE!
3/5/07,,,,,,,,,,37.20,140805.9627,0,#VALUE!
3/6/07,18.60,,15.70,10.40,,<0.12,16.80,2.54,7.46,34.64,131141.8064,2203.182348,978.3178757
3/7/07,,,,,,,,,,34.21,129495.1523,0,#VALUE!
3/8/07,20.70,,,9.25,,<0.12,22.40,,6.70,34.95,132281.2154,2963.099224,886.2841429
3/9/07,,,,,,,,,,34.82,131815.6097,0,#VALUE!
3/10/07,,,,12.30,,,,,8.71,32.75,123983.5927,0,1079.897092
3/11/07,,,,,,,,,,31.75,120201.9663,0,#VALUE!
3/12/07,,,,,,,,,,32.41,122670.0548,0,#VALUE!
3/13/07,25.30,,12.60,15.00,,<0.12,25.30,2.17,9.21,32.77,124047.9447,3138.413001,1142.481571
3/14/07,,,,,,,,,,35.51,134401.046,0,#VALUE!
3/15/07,16.70,,,13.80,,<0.12,22.40,,9.04,30.84,116738.3145,2614.938245,1055.314363
3/16/07,,,,,,,,,,29.81,112858.2674,0,#VALUE!
3/17/07,,,,14.10,,,,,10.30,32.68,123707.2576,0,1274.184754
3/18/07,,,,,,,,,,31.44,119020.9178,0,#VALUE!
3/19/07,,,,,,,,,,39.50,149538.9077,0,#VALUE!
3/20/07,10.10,,25.80,13.60,,<0.12,12.50,2.41,8.92,30.13,114069.5992,1425.86999,1017.500825
3/21/07,,,,,,,,,,28.78,108951.7224,0,#VALUE!
3/22/07,7.97,,,14.40,,<0.12,14.40,,9.57,33.20,125675.6718,1809.729673,1202.716179
3/23/07,,,,,,,,,,41.73,157965.2344,0,#VALUE!
3/24/07,,,,14.90,,,,,10.20,34.60,130975.2483,0,1335.947532
3/25/07,,,,,,,,,,32.79,124131.2237,0,#VALUE!
3/26/07,,,,,,,,,,31.79,120338.2411,0,#VALUE!
3/27/07,6.34,,13.70,14.50,,<0.12,22.40,1.88,10.70,29.60,112048.1893,2509.87944,1198.915625
3/28/07,,,,,,,,,,30.86,116817.8081,0,#VALUE!
3/29/07,5.25,,,16.00,,<0.12,22.80,,11.80,40.66,153914.8438,3509.258438,1816.195157
3/30/07,,,,,,,,,,35.52,134454.0417,0,#VALUE!
3/31/07,,,,14.40,,,,,12.60,49.63,187873.773,0,2367.20954
4/1/07,,,,,,,,,,46.78,177070.2078,0,#VALUE!
4/2/07,,,,,,,,,,42.30,160126.7046,0,#VALUE!
4/3/07,12.60,,13.70,12.00,,<0.12,17.40,2.06,9.62,45.24,171244.459,2979.653587,1647.371696
4/4/07,,,,,,,,,,34.73,131482.4935,0,#VALUE!
4/5/07,11.40,,,13.00,,<0.12,19.50,,9.57,35.35,133802.9509,2609.157542,1280.49424
4/6/07,,,,,,,,,,33.28,125959.5776,0,#VALUE!
4/7/07,,,,13.80,,,,,10.60,33.35,126254.8398,0,1338.301302
4/8/07,,,,,,,,,,29.88,113111.89,0,#VALUE!
4/9/07,,,,,,,,,,31.92,120845.4863,0,#VALUE!
4/10/07,22.50,,15.00,15.40,,<0.12,22.90,2.19,12.20,41.46,156924.2462,3593.565237,1914.475803
4/11/07,,,,,,,,,,44.09,166879.8792,0,#VALUE!
4/12/07,22.70,,,13.80,,<0.12,20.00,,9.19,32.69,123737.5409,2474.750818,1137.148001
4/13/07,,,,,,,,,,34.90,132118.4426,0,#VALUE!
4/14/07,,,,12.40,,,,,10.90,42.79,161992.9126,0,1765.722747
4/15/07,,,,,,,,,,36.29,137361.238,0,#VALUE!
4/16/07,,,,,,,,,,34.47,130486.9302,0,#VALUE!
4/17/07,20.10,,20.30,16.00,,<0.12,27.10,2.19,10.50,33.70,127557.0214,3456.795281,1339.348725
4/18/07,,,,,,,,,,34.04,128855.4177,0,#VALUE!
4/19/07,15.30,,,16.20,,<0.12,25.40,,11.60,30.45,115265.7893,2927.751048,1337.083156
4/20/07,,,,,,,,,,32.48,122950.1753,0,#VALUE!
4/21/07,,,,20.30,,,,,12.60,31.51,119278.3258,0,1502.906905
4/22/07,,,,,,,,,,31.18,118029.1399,0,#VALUE!
4/23/07,,,,,,,,,,33.11,125334.9847,0,#VALUE!
4/24/07,15.20,,17.50,18.60,,<0.12,24.90,2.28,12.80,37.77,142975.0037,3560.077592,1830.080047
4/25/07,,,,,,,,,,43.66,165271.0792,0,#VALUE!
4/26/07,14.20,,,14.50,,<0.12,17.50,,9.11,36.69,138886.7589,2430.518281,1265.258374
4/27/07,,,,,,,,,,33.69,127530.5235,0,#VALUE!
4/28/07,,,,21.00,,,,,12.70,33.33,126182.9169,0,1602.523045
4/29/07,,,,,,,,,,30.86,116802.6665,0,#VALUE!
4/30/07,,,,,,,,,,30.68,116144.0048,0,#VALUE!
5/1/07,13.50,,18.80,20.40,,<0.12,32.30,2.80,12.70,31.05,117548.3926,3796.813082,1492.864586
5/2/07,,,,,,,,,,30.79,116564.1856,0,#VALUE!
5/3/07,9.52,,,16.60,,<0.12,26.50,,12.70,30.12,114009.0326,3021.239364,1447.914714
5/4/07,,,,,,,,,,33.76,127810.644,0,#VALUE!
5/5/07,,,,16.60,,,,,11.70,28.42,107592.7596,0,1258.835287
5/6/07,,,,,,,,,,27.83,105348.0104,0,#VALUE!
5/7/07,,,,,,,,,,29.79,112774.9883,0,#VALUE!
5/8/07,11.30,,11.20,15.90,,<0.12,32.30,1.97,13.00,26.81,101479.3195,3277.782021,1319.231154
5/9/07,,,,,,,,,,24.91,94298.39335,0,#VALUE!
5/10/07,9.71,,,16.40,,<0.12,24.00,,11.30,26.13,98920.38116,2374.089148,1117.800307
5/11/07,,,,,,,,,,28.34,107259.6434,0,#VALUE!
5/12/07,,,,20.00,,,,,11.40,26.23,99298.92234,0,1132.007715
5/13/07,,,,,,,,,,26.23,99291.35151,0,#VALUE!
5/14/07,,,,,,,,,,26.72,101149.9887,0,#VALUE!
5/15/07,6.41,,16.20,16.20,,<0.12,37.10,2.43,12.80,36.28,137342.3109,5095.399735,1757.98158
5/16/07,,,,,,,,,,26.81,101471.7487,0,#VALUE!
5/17/07,7.20,,,17.90,,<0.12,30.70,,12.50,27.14,102728.5054,3153.765117,1284.106318
5/18/07,,,,,,,,,,26.41,99968.94023,0,#VALUE!
5/19/07,,,,22.40,,,,,14.90,25.82,97750.68891,0,1456.485265
5/20/07,,,,,,,,,,27.45,103894.4123,0,#VALUE!
5/21/07,,,,,,,,,,26.14,98939.30822,0,#VALUE!
5/22/07,6.67,,14.00,22.50,,<0.12,30.40,2.23,15.00,26.41,99984.08187,3039.516089,1499.761228
5/23/07,,,,,,,,,,25.67,97152.59385,0,#VALUE!
5/24/07,8.24,,,19.50,,0.32,22.50,,13.40,26.53,100430.7605,2259.69211,1345.77219
5/25/07,,,,,,,,,,27.15,102766.3595,0,#VALUE!
5/26/07,,,,20.20,,,,,14.60,27.40,103727.8541,0,1514.42667
5/27/07,,,,,,,,,,29.55,111843.777,0,#VALUE!
5/28/07,,,,,,,,,,25.77,97538.70585,0,#VALUE!
5/29/07,7.32,,13.70,20.30,,0.22,30.30,1.92,14.90,26.94,101986.5647,3090.192911,1519.599814
5/30/07,,,,,,,,,,30.79,116541.4731,0,#VALUE!
5/31/07,8.17,,,20.80,,0.18,24.50,,14.50,27.12,102671.7243,2515.457244,1488.740002
6/1/07,,,,,,,,,,26.50,100298.2711,0,#VALUE!
6/2/07,,,,24.50,,,,,17.50,25.20,95392.37736,0,1669.366604
6/3/07,,,,,,,,,,23.46,88820.90248,0,#VALUE!
6/4/07,,,,,,,,,,25.36,95982.9016,0,#VALUE!
6/5/07,9.80,,12.30,25.50,,0.25,24.30,2.19,17.20,24.79,93851.71476,2280.596669,1614.249494
6/6/07,,,,,,,,,,25.02,94692.07618,0,#VALUE!
6/7/07,9.77,,,26.20,,0.33,26.00,,19.00,26.55,100483.7562,2612.577662,1909.191368
6/8/07,,,,,,,,,,24.52,92825.86816,0,#VALUE!
6/9/07,,,,27.10,,,,,20.10,23.99,90823.38532,0,1825.550045
6/10/07,,,,,,,,,,23.14,87590.64364,0,#VALUE!
6/11/07,,,,,,,,,,23.74,89880.81778,0,#VALUE!
6/12/07,10.10,,18.90,20.80,,<0.12,6.81,2.87,18.10,22.48,85088.48644,579.4525927,1540.101605
6/13/07,,,,,,,,,,22.10,83650.02996,0,#VALUE!
6/14/07,15.10,,,21.60,,0.18,12.80,,16.20,23.98,90766.60414,1161.812533,1470.418987
6/15/07,,,,,,,,,,26.20,99177.78916,0,#VALUE!
6/16/07,,,,19.40,,,,,14.90,21.70,82158.57771,0,1224.162808
6/17/07,,,,,,,,,,22.35,84611.52455,0,#VALUE!
6/18/07,,,,,,,,,,28.34,107289.9266,0,#VALUE!
6/19/07,14.60,,16.60,20.00,,0.31,9.40,3.43,13.00,25.61,96925.46914,911.0994099,1260.031099
6/20/07,,,,,,,,,,24.94,94393.02864,0,#VALUE!
6/21/07,13.70,,,15.90,,0.45,12.50,,14.40,28.88,109322.6928,1366.53366,1574.246776
6/22/07,,,,,,,,,,31.51,119259.3988,0,#VALUE!
6/23/07,,,,13.30,,,,,11.00,55.62,210533.2481,0,2315.865729
6/24/07,,,,,,,,,,42.22,159801.1591,0,#VALUE!
6/25/07,,,,,,,,,,31.86,120614.5762,0,#VALUE!
6/26/07,15.10,,22.20,17.40,,0.26,10.90,1.93,10.40,30.79,116556.6147,1270.467101,1212.188793
6/27/07,,,,,,,,,,32.81,124188.0049,0,#VALUE!
6/28/07,10.20,,,14.40,,<0.12,13.80,,10.50,41.59,157446.633,2172.763535,1653.189646
6/29/07,,,,,,,,,,30.50,115451.2745,0,#VALUE!
6/30/07,,,,21.70,,,,,12.30,28.08,106294.3633,0,1307.420669
7/1/07,,,,,,,,,,31.83,120501.0138,0,#VALUE!
7/2/07,,,,,,,,,,28.52,107963.7299,0,#VALUE!
7/3/07,12.20,,13.10,23.10,,0.26,25.50,1.93,13.90,27.54,104265.3826,2658.767257,1449.288818
7/4/07,,,,,,,,,,32.67,123676.9743,0,#VALUE!
7/5/07,11.80,,,14.30,,0.28,22.80,,12.50,33.11,125346.3409,2857.896573,1566.829262
7/6/07,,,,,,,,,,28.73,108743.5248,0,#VALUE!
7/7/07,,,,18.30,,,,,12.90,28.68,108565.6104,0,1400.496374
7/8/07,,,,,,,,,,27.23,103080.5487,0,#VALUE!
7/9/07,,,,,,,,,,26.06,98647.83151,0,#VALUE!
7/10/07,12.80,,14.60,18.90,,<0.12,16.90,1.93,14.30,28.86,109235.6283,1846.082118,1562.069485
7/11/07,,,,,,,,,,26.22,99249.71198,0,#VALUE!
7/12/07,13.00,,,15.10,,<0.12,24.00,,13.70,28.15,106555.5568,2557.333362,1459.811128
7/13/07,,,,,,,,,,26.99,102175.8353,0,#VALUE!
7/14/07,,,,18.40,,,,,13.90,26.47,100188.4941,0,1392.620068
7/15/07,,,,,,,,,,24.67,93386.10911,0,#VALUE!
7/16/07,,,,,,,,,,28.53,107986.4424,0,#VALUE!
7/17/07,10.80,,16.60,16.60,,<0.12,18.10,1.84,12.10,36.13,136774.4992,2475.618435,1654.97144
7/18/07,,,,,,,,,,29.19,110488.5996,0,#VALUE!
7/19/07,18.60,,,21.30,,<0.12,13.10,,15.00,28.80,109008.5036,1428.011397,1635.127554
7/20/07,,,,,,,,,,25.71,97330.5082,0,#VALUE!
7/21/07,,,,22.70,,,,,15.60,25.79,97640.91197,0,1523.198227
7/22/07,,,,,,,,,,24.90,94268.11006,0,#VALUE!
7/23/07,,,,,,,,,,26.77,101324.1177,0,#VALUE!
7/24/07,15.90,,14.70,19.70,,<0.12,18.50,2.09,15.80,26.31,99605.54069,1842.702503,1573.767543
7/25/07,,,,,,,,,,26.24,99321.63481,0,#VALUE!
7/26/07,14.70,,,20.70,,<0.12,19.70,,15.20,25.68,97205.58961,1914.950115,1477.524962
7/27/07,,,,,,,,,,26.71,101119.7054,0,#VALUE!
7/28/07,,,,20.00,,,,,15.30,25.89,97996.74068,0,1499.350132
7/29/07,,,,,,,,,,24.56,92962.14298,0,#VALUE!
7/30/07,,,,,,,,,,25.81,97686.33691,0,#VALUE!
7/31/07,12.50,,17.60,22.50,,<0.12,19.50,2.36,17.40,24.26,91818.94862,1790.469498,1597.649706
8/1/07,,,,,,,,,,24.76,93734.36699,0,#VALUE!
8/2/07,13.80,,,22.90,,<0.12,25.10,,16.80,24.65,93321.75711,2342.376103,1567.805519
8/3/07,,,,,,,,,,24.33,92087.71286,0,#VALUE!
8/4/07,,,,23.70,,,,,15.60,25.90,98038.38021,0,1529.398731
8/5/07,,,,,,,,,,23.56,89195.65824,0,#VALUE!
8/6/07,,,,,,,,,,23.21,87863.19329,0,#VALUE!
8/7/07,9.52,,13.40,23.70,,<0.12,25.40,2.32,16.50,25.66,97129.88138,2467.098987,1602.643043
8/8/07,,,,,,,,,,23.83,90210.14861,0,#VALUE!
8/9/07,7.73,,,16.80,,<0.12,23.80,,16.00,23.24,87954.04317,2093.306228,1407.264691
8/10/07,,,,,,,,,,32.62,123483.9183,0,#VALUE!
8/11/07,,,,25.40,,,,,15.00,27.24,103107.0466,0,1546.605699
8/12/07,,,,,,,,,,26.78,101354.4009,0,#VALUE!
8/13/07,,,,,,,,,,26.29,99522.26163,0,#VALUE!
8/14/07,5.03,<0.009,26.80,18.40,,<0.12,6.29,2.21,14.80,25.81,97716.62021,614.6375411,1446.205979
8/15/07,,,,,,,,,,29.89,113157.3149,0,#VALUE!
8/16/07,3.57,,,16.20,,<0.12,6.11,,14.70,27.07,102482.4537,626.1677919,1506.492069
8/17/07,,,,,,,,,,27.18,102872.3511,0,#VALUE!
8/18/07,,,,24.20,,,,,14.80,26.87,101706.4442,0,1505.255375
8/19/07,,,,,,,,,,26.63,100786.5892,0,#VALUE!
8/20/07,,,,,,,,,,28.80,109027.4307,0,#VALUE!
8/21/07,6.56,<0.009,14.50,18.90,,<0.12,6.40,2.14,16.00,25.35,95952.61831,614.0967572,1535.241893
8/22/07,,,,,,,,,,24.72,93575.3797,0,#VALUE!
8/23/07,6.65,,,18.30,,<0.12,6.18,,14.80,25.69,97239.65832,600.9410884,1439.146943
8/24/07,,,,,,,,,,25.91,98072.44891,0,#VALUE!
8/25/07,,,,22.00,,,,,14.00,24.48,92651.73922,0,1297.124349
8/26/07,,,,,,,,,,23.82,90160.93825,0,#VALUE!
8/27/07,,,,,,,,,,24.63,93215.76558,0,#VALUE!
8/28/07,13.30,<0.009,14.70,22.50,,0.24,8.85,2.01,13.40,23.92,90543.26484,801.3078939,1213.279749
8/29/07,,,,,,,,,,28.53,107982.657,0,#VALUE!
8/30/07,9.76,,,22.40,,0.26,10.70,,14.50,29.87,113070.2505,1209.85168,1639.518632
8/31/07,,,,,,,,,,29.58,111972.481,0,#VALUE!
9/1/07,,,,25.40,,,,,15.70,28.73,108754.881,0,1707.451632
9/2/07,,,,,,,,,,28.20,106748.6128,0,#VALUE!
9/3/07,,,,,,,,,,27.09,102561.9473,0,#VALUE!
9/4/07,20.70,4.13,15.40,21.80,,0.35,7.59,2.14,15.90,29.81,112846.9112,856.5080558,1794.265888
9/5/07,,,,,,,,,,28.20,106729.6857,0,#VALUE!
9/6/07,16.00,,,22.40,,<0.12,24.40,,13.90,31.51,119285.8966,2910.575878,1658.073963
9/7/07,,,,,,,,,,33.25,125857.3715,0,#VALUE!
9/8/07,,,,17.30,,,,,10.30,29.60,112059.5455,0,1154.213319
